px py yaw vaim_x vaim_y vset_x vset_y min_dist
-0.865847 -1.54903 -5.85169e-05 1.38324 -0.1398 1.38324 -0.1398 0.817972
-0.811974 -1.55433 -0.0186319 1.38319 -0.140363 1.38319 -0.140363 0.822765
-0.762081 -1.55947 -0.0410614 1.40441 -0.150459 1.40441 -0.150459 0.844345
-0.727842 -1.5619 -0.0675927 1.40441 -0.150459 1.40441 -0.150459 0.844345
-0.697385 -1.56635 -0.088463 1.40819 -0.0901645 1.40819 -0.0901645 0.86542
-0.654771 -1.5748 -0.0986947 1.40892 -0.0778515 1.40892 -0.0778515 0.88466
-0.6 -1.58635 -0.114794 1.42187 0.0298708 1.42187 0.0298708 0.88466
-0.536635 -1.60092 -0.129801 1.42173 0.0359071 1.42173 0.0359071 0.919415
-0.468382 -1.61602 -0.13457 1.42119 0.0874951 1.42119 0.0874951 0.982493
-0.39794 -1.62944 -0.133159 1.42119 0.0874951 1.42119 0.0874951 0.982493
-0.326175 -1.64238 -0.13153 1.42071 0.0949128 1.42071 0.0949128 1.06051
-0.2537 -1.65398 -0.127328 1.4183 0.162624 1.4183 0.162624 1.13659
-0.180974 -1.66443 -0.121246 1.41757 0.168885 1.41757 0.168885 1.13659
-0.108135 -1.67381 -0.11511 1.41721 0.171864 1.41721 0.171864 1.11197
-0.0357854 -1.68133 -0.10345 1.41721 0.171864 1.41721 0.171864 1.11197
0.0366942 -1.68652 -0.0899357 1.36989 0.186015 1.36989 0.186015 1.01819
0.109171 -1.68932 -0.0778597 1.39569 0.225102 1.39569 0.225102 0.914822
0.181473 -1.68971 -0.0687949 1.39569 0.225102 1.39569 0.225102 0.914822
0.254906 -1.68814 -0.057764 1.36935 0.208962 1.36935 0.208962 0.806777
0.328146 -1.68541 -0.0447974 1.36919 0.210006 1.34213 0.214086 0.710036
0.400259 -1.68193 -0.0346985 1.37303 0.169982 1.33632 0.175516 0.710036
0.470503 -1.67845 -0.0250813 1.37278 0.171976 1.13807 0.207354 0.601566
0.535677 -1.67358 -0.0163674 1.38948 0.158672 0.96505 0.222644 0.517495
0.592339 -1.66745 -0.00705472 1.38948 0.158672 0.96505 0.222644 0.517495
0.643491 -1.65993 -0.000851336 1.38778 0.172857 0.890785 0.264658 0.453848
0.692528 -1.65054 0.00783321 1.34773 0.304039 0.85546 0.380606 0.413003
0.738812 -1.63771 0.0252548 1.34773 0.304039 0.85546 0.380606 0.413003
0.783312 -1.62144 0.0416998 1.3565 0.367605 0.816862 0.372789 0.397657
0.827594 -1.60346 0.058926 1.3565 0.367605 0.816862 0.372789 0.402739
0.870859 -1.58508 0.0808599 1.36248 0.344779 0.783434 0.306703 0.402739
0.912135 -1.56767 0.103943 1.36838 0.320563 0.763528 0.182551 0.404569
0.951804 -1.55353 0.129326 1.36838 0.320563 0.763528 0.182551 0.404569
0.990923 -1.54191 0.151405 1.32151 0.362254 0.745037 0.0296014 0.368511
1.02912 -1.53298 0.176705 1.32984 0.330368 0.704485 -0.0668851 0.340287
1.05602 -1.52738 0.186739 1.32984 0.330368 0.704485 -0.0668851 0.340287
1.07956 -1.52393 0.213142 1.33663 0.301711 0.655189 -0.1312 0.322608
1.11197 -1.52164 0.237943 1.25469 0.285017 0.591607 -0.135317 0.311576
1.14514 -1.52131 0.262575 1.25469 0.285017 0.591607 -0.135317 0.311576
1.17723 -1.52088 0.293488 1.25725 0.273522 0.537511 -0.125421 0.302289
1.20786 -1.51963 0.323051 1.23791 0.285614 0.476805 -0.103501 0.294199
1.23486 -1.51703 0.355246 1.23791 0.285614 0.476805 -0.103501 0.294199
1.25985 -1.51435 0.384878 1.23413 0.342042 0.43756 -0.103344 0.284081
