state No tNow cmdX cmdY cmdZ cmdYaw realX realY realZ realYaw aimX aimY aimZ aimYaw ubarX ubarY ubarZ uresX uresY uresZ setVx setVy setVz roll pitch yaw SAFE_DS ALPHA_V
52 1 1.95023 28.9577 -24.3852 15000 11.2617 0.641177 1.43426 0.000866205 -0.0541523 0.766655 1.23335 0.350003 0 1.21331 -1.34155 0.613524 0.301317 -0.186593 0.613524 0 0 0 0.0284277 -0.0016168 0.108346 0.3 0.3
52 2 1.95023 65.6132 -31.06 15000 25.5493 1.1984 0.728586 -0.00164879 -0.128524 1.23335 0.766655 0.350003 0 0.751951 0.817433 0.616777 0.751951 0.817433 0.616777 0 0 0 -0.00998465 0.000117239 0.257763 0.3 0.3
52 0 2.00027 -7.50485 -9.46162 20000 0.89494 -1.02919 -0.981163 0.0204034 -0.00433732 -1 -1 0.375019 0 0.0554445 -0.0358364 0.621518 0.0554445 -0.0358364 0.621518 0 0 0 0.00448017 0.0305445 0.00874413 0.3 0.3
52 1 2.00027 -2.64428 10.3261 20000 10.2823 0.6413 1.43423 0.000813733 -0.0532842 0.766655 1.23335 0.375019 0 0.223102 -0.351512 0.649171 0.172917 -0.287944 0.649171 0 0 0 0.027115 -0.00921632 0.106505 0.3 0.3
52 2 2.00027 -19.0634 11.0053 20000 25.7841 1.19836 0.728616 -0.00166973 -0.128543 1.23335 0.766655 0.375019 0 0.0663924 0.0721938 0.65256 0.0663924 0.0721938 0.65256 0 0 0 -0.00994126 0.0027655 0.257789 0.3 0.3
52 0 2.05026 6.45512 -4.74998 25000 -0.302324 -1.02927 -0.981325 0.0202324 -0.00235898 -1 -1 0.400014 0 0.0498227 -0.0317849 0.657569 0.0498227 -0.0317849 0.657569 0 0 0 0.00533934 0.0389791 0.00482296 0.3 0.3
52 1 2.05026 -1.91513 12.3065 25000 11.1062 0.64137 1.4342 0.000777857 -0.0540552 0.766655 1.23335 0.400014 0 0.213083 -0.341547 0.68416 0.171559 -0.288961 0.68416 0 0 0 0.0230164 -0.0129804 0.108023 0.3 0.3
52 2 2.05026 -5.91207 1.43172 25000 26.1837 1.19835 0.728841 -0.00146737 -0.129191 1.23335 0.766655 0.400014 0 0.0595688 0.0643593 0.676626 0.0595688 0.0643593 0.676626 0 0 0 -0.014529 -0.00339193 0.259138 0.3 0.3
52 0 2.10023 6.83266 -4.84544 30000 0.0361432 -1.02935 -0.981402 0.0203883 -0.00159368 -1 -1 0.425003 0 0.0498912 -0.0316166 0.661138 0.0498912 -0.0316166 0.661138 0 0 0 0.0098366 0.0302301 0.00333645 0.3 0.3
52 1 2.10023 -1.9198 12.8405 30000 10.346 0.641233 1.43428 0.000927949 -0.0532391 0.766655 1.23335 0.425003 0 0.213218 -0.341598 0.563821 0.171637 -0.288935 0.563821 0 0 0 0.0282245 -0.00259674 0.106503 0.3 0.3
52 2 2.10023 -5.97787 1.18845 30000 25.4332 1.19828 0.72878 -0.00138017 -0.128398 1.23335 0.766655 0.425003 0 0.0596097 0.0643882 0.56 0.0596097 0.0643882 0.56 0 0 0 -0.0159624 -0.00261071 0.257536 0.3 0.3
52 0 2.15023 6.73954 -4.74539 35000 1.17138 -1.02921 -0.981307 0.0205615 -0.00303562 -1 -1 0.450003 0 0.0496543 -0.0317786 0.56 0.0496543 -0.0317786 0.56 0 0 0 0.00407429 0.0284372 0.00612981 0.3 0.3
52 1 2.15023 -2.03147 12.8443 35000 9.93933 0.641267 1.43426 0.000979017 -0.0520903 0.766655 1.23335 0.450003 0 0.213159 -0.341554 0.56 0.171632 -0.28896 0.56 0 0 0 0.0309419 -0.00702548 0.104132 0.3 0.3
52 2 2.15023 -6.11336 1.21356 35000 25.1674 1.19837 0.728679 -0.00149134 -0.12745 1.23335 0.766655 0.450003 0 0.0594649 0.0645581 0.56 0.0594649 0.0645581 0.56 0 0 0 -0.0115458 0.00334843 0.255581 0.3 0.3
52 0 2.20027 7.03357 -4.92279 39955.5 1.09811 -1.02936 -0.981419 0.0205944 -0.00384296 -1 -1 0.475022 0 0.0499196 -0.0315883 0.56 0.0499196 -0.0315883 0.56 0 0 0 0.00386876 0.0313338 0.00774752 0.3 0.3
52 1 2.20027 -1.965 12.856 39536.9 9.11287 0.641423 1.43406 0.00147188 -0.0498355 0.766655 1.23335 0.475022 0 0.212894 -0.341217 0.56 0.171574 -0.288902 0.56 0 0 0 0.0348008 0.0039439 0.0997963 0.3 0.3
